2020 Jun 23 11:14:17 [AWT-EventQueue-0] getPropertyDescriptors WARN  e.u.e.a.workbench.MonitorizeDialog - Warning: progress bean property time does not have a write method associated so it probably can't be updated
2020 Jun 23 11:14:25 [Thread-22] runIdentification INFO  p.u.c.b.m.g.r.c.IdentifyGenomeSubunits - Reference taxonomy set to [Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, Escherichia, Escherichia coli, Escherichia coli K-12]
2020 Jun 23 11:14:29 [Thread-22] runIdentification INFO  p.u.c.b.m.g.r.c.IdentifyGenomeSubunits - Iterator size: 1, entries [1.1.1.299]
2020 Jun 23 11:14:30 [Thread-22] runIdentification INFO  p.u.c.b.m.g.r.c.IdentifyGenomeSubunits - Orthologs to be searched in genome:	0	[]
2020 Jun 23 11:14:30 [Thread-22] warn WARN  e.u.ei.aibench.workbench.Workbench - nothing found
2020 Jun 23 11:15:01 [AWT-EventQueue-0] getPropertyDescriptors WARN  e.u.e.a.workbench.MonitorizeDialog - Warning: progress bean property progress does not have a write method associated so it probably can't be updated
2020 Jun 23 11:15:01 [AWT-EventQueue-0] getPropertyDescriptors WARN  e.u.e.a.workbench.MonitorizeDialog - Warning: progress bean property task does not have a write method associated so it probably can't be updated
2020 Jun 23 11:15:01 [AWT-EventQueue-0] getPropertyDescriptors WARN  e.u.e.a.workbench.MonitorizeDialog - Warning: progress bean property time does not have a write method associated so it probably can't be updated
2020 Jun 23 11:15:09 [Thread-20] warn WARN  e.u.ei.aibench.workbench.Workbench - nothing found
2020 Jun 23 11:15:47 [AWT-EventQueue-0] getPropertyDescriptors WARN  e.u.e.a.workbench.MonitorizeDialog - Warning: progress bean property progress does not have a write method associated so it probably can't be updated
2020 Jun 23 11:15:47 [AWT-EventQueue-0] getPropertyDescriptors WARN  e.u.e.a.workbench.MonitorizeDialog - Warning: progress bean property task does not have a write method associated so it probably can't be updated
2020 Jun 23 11:15:47 [AWT-EventQueue-0] getPropertyDescriptors WARN  e.u.e.a.workbench.MonitorizeDialog - Warning: progress bean property time does not have a write method associated so it probably can't be updated
2020 Jun 23 11:16:18 [Thread-22] runIdentification INFO  p.u.c.b.m.g.r.c.IdentifyGenomeSubunits - Reference taxonomy set to [Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, Escherichia, Escherichia coli, Escherichia coli K-12]
2020 Jun 23 11:16:21 [Thread-22] runIdentification INFO  p.u.c.b.m.g.r.c.IdentifyGenomeSubunits - Iterator size: 1, entries [1.14.14.44]
2020 Jun 23 11:16:24 [Thread-22] runIdentification INFO  p.u.c.b.m.g.r.c.IdentifyGenomeSubunits - Orthologs to be searched in genome:	1	[pper:18776644]
2020 Jun 23 11:16:24 [Thread-22] run_OrthologGapsSearch INFO  p.u.c.b.m.a.core.RunSimilaritySearch - Writting query sequences temporary fasta files... 
2020 Jun 23 11:16:24 [Thread-22] run_OrthologGapsSearch INFO  p.u.c.b.m.a.core.RunSimilaritySearch - Starting Blast homology searches... 
2020 Jun 23 11:16:24 [Thread-64] run INFO  p.u.c.b.m.a.c.M.BlastAlignment - BLAST search completed with success!
2020 Jun 23 11:16:25 [Thread-22] warn WARN  e.u.ei.aibench.workbench.Workbench - nothing found
2020 Jun 23 11:16:55 [AWT-EventQueue-0] getPropertyDescriptors WARN  e.u.e.a.workbench.MonitorizeDialog - Warning: progress bean property progress does not have a write method associated so it probably can't be updated
2020 Jun 23 11:16:55 [AWT-EventQueue-0] getPropertyDescriptors WARN  e.u.e.a.workbench.MonitorizeDialog - Warning: progress bean property task does not have a write method associated so it probably can't be updated
2020 Jun 23 11:16:55 [AWT-EventQueue-0] getPropertyDescriptors WARN  e.u.e.a.workbench.MonitorizeDialog - Warning: progress bean property time does not have a write method associated so it probably can't be updated
